Administrative,Administrative_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,Month,OperatingSystems,VisitorType,Weekend
0,0,1,0,0.2,0.2,Feb,1,Returning_Visitor,FALSE
0,0,2,64,0,0.1,Feb,2,Returning_Visitor,FALSE
0,0,1,0,0.2,0.2,Feb,4,Returning_Visitor,FALSE
0,0,2,2.666666667,0.05,0.14,Feb,3,Returning_Visitor,FALSE
0,0,10,627.5,0.02,0.05,Feb,3,Returning_Visitor,TRUE
0,0,19,154.2166667,0.015789474,0.024561404,Feb,2,Returning_Visitor,FALSE
0,0,1,0,0.2,0.2,Feb,2,Returning_Visitor,FALSE
1,0,0,0,0.2,0.2,Feb,1,Returning_Visitor,TRUE
0,0,2,37,0,0.1,Feb,2,Returning_Visitor,FALSE
0,0,3,738,0,0.022222222,Feb,2,Returning_Visitor,FALSE
0,0,3,395,0,0.066666667,Feb,1,Returning_Visitor,FALSE
0,0,16,407.75,0.01875,0.025833333,Feb,1,Returning_Visitor,FALSE
0,0,7,280.5,0,0.028571429,Feb,1,Returning_Visitor,FALSE
